startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar1,congestionCar2,congestionCar3,congestionCar4,congestionCar5,congestionCar6,congestionCar7,congestionCar8,congestionCar9,congestionCar10
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,40,0,0,0,0,0,0,0,0,0,0
202,을지로입구역,211-R,성수역,214,강변역,0,0,WED,19,50,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,00,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,10,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,20,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,30,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,40,0,0,0,0,0,0,0,0,0,0
211,성수역,202,을지로입구역,212,건대입구역,1,0,WED,19,50,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,19,00,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,19,10,0,0,0,0,0,0,0,0,0,0
211,성수역,211,성수역,214,강변역,0,0,WED,19,20,4,5,6,5,5,5,7,6,4,4
211,성수역,211,성수역,214,강변역,0,0,WED,19,30,7,11,10,10,10,11,13,12,10,8
211,성수역,211,성수역,214,강변역,0,0,WED,19,40,6,11,11,11,9,11,12,12,8,8
211,성수역,211,성수역,214,강변역,0,0,WED,19,50,7,9,12,12,11,12,13,13,11,8
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,00,42,46,50,57,49,47,51,61,48,49
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,10,21,27,27,34,30,29,33,40,30,31
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,20,23,28,32,28,25,28,34,42,31,30
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,30,14,21,25,21,21,24,26,25,21,22
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,40,11,17,21,22,18,19,20,20,20,21
211,성수역,211,성수역,212,건대입구역,1,0,WED,19,50,15,18,18,17,19,17,21,20,24,21
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,00,38,41,50,51,41,48,62,50,39,39
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,10,28,35,42,42,36,49,54,42,40,33
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,20,31,41,49,42,44,46,56,49,36,35
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,30,23,38,32,34,34,37,43,39,32,26
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,40,16,29,29,27,24,30,31,30,22,21
211,성수역,211-R,성수역,214,강변역,0,0,WED,19,50,18,23,31,29,27,30,33,31,28,20
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,00,36,40,43,49,42,41,44,52,41,42
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,10,19,24,24,30,27,26,29,36,27,28
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,20,20,24,28,24,22,25,30,36,26,26
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,30,15,22,26,22,22,25,27,26,22,23
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,40,12,18,22,23,19,20,21,21,21,22
211,성수역,211-R,성수역,212,건대입구역,1,0,WED,19,50,14,17,17,16,18,16,20,19,23,20
